"R.native","Desc","Bytestring","status","OriginalOrder"
"👩🏿‍❤️‍💋‍👩🏿","Kiss:_Woman,_Woman,_Dark_Skin_Tone","1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FF","fully-qualified",3415
"👩🏿‍❤️‍💋‍👩🏾","Kiss:_Woman,_Woman,_Dark_Skin_Tone,_Medium-Dark_Skin_Tone","1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FE","fully-qualified",3413
"👩🏿‍❤️‍💋‍👩🏽","Kiss:_Woman,_Woman,_Dark_Skin_Tone,_Medium_Skin_Tone","1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FD","fully-qualified",3411
"👩🏿‍❤️‍💋‍👩🏼","Kiss:_Woman,_Woman,_Dark_Skin_Tone,_Medium-Light_Skin_Tone","1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FC","fully-qualified",3409
"👩🏿‍❤️‍💋‍👩🏻","Kiss:_Woman,_Woman,_Dark_Skin_Tone,_Light_Skin_Tone","1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FB","fully-qualified",3407
"👩🏾‍❤️‍💋‍👩🏿","Kiss:_Woman,_Woman,_Medium-Dark_Skin_Tone,_Dark_Skin_Tone","1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FF","fully-qualified",3405
"👩🏾‍❤️‍💋‍👩🏾","Kiss:_Woman,_Woman,_Medium-Dark_Skin_Tone","1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FE","fully-qualified",3403
"👩🏾‍❤️‍💋‍👩🏽","Kiss:_Woman,_Woman,_Medium-Dark_Skin_Tone,_Medium_Skin_Tone","1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FD","fully-qualified",3401
"👩🏾‍❤️‍💋‍👩🏼","Kiss:_Woman,_Woman,_Medium-Dark_Skin_Tone,_Medium-Light_Skin_Tone","1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FC","fully-qualified",3399
"👩🏾‍❤️‍💋‍👩🏻","Kiss:_Woman,_Woman,_Medium-Dark_Skin_Tone,_Light_Skin_Tone","1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FB","fully-qualified",3397
"👩🏽‍❤️‍💋‍👩🏿","Kiss:_Woman,_Woman,_Medium_Skin_Tone,_Dark_Skin_Tone","1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FF","fully-qualified",3395
"👩🏽‍❤️‍💋‍👩🏾","Kiss:_Woman,_Woman,_Medium_Skin_Tone,_Medium-Dark_Skin_Tone","1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FE","fully-qualified",3393
"👩🏽‍❤️‍💋‍👩🏽","Kiss:_Woman,_Woman,_Medium_Skin_Tone","1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FD","fully-qualified",3391
"👩🏽‍❤️‍💋‍👩🏼","Kiss:_Woman,_Woman,_Medium_Skin_Tone,_Medium-Light_Skin_Tone","1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FC","fully-qualified",3389
"👩🏽‍❤️‍💋‍👩🏻","Kiss:_Woman,_Woman,_Medium_Skin_Tone,_Light_Skin_Tone","1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FB","fully-qualified",3387
"👩🏼‍❤️‍💋‍👩🏿","Kiss:_Woman,_Woman,_Medium-Light_Skin_Tone,_Dark_Skin_Tone","1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FF","fully-qualified",3385
"👩🏼‍❤️‍💋‍👩🏾","Kiss:_Woman,_Woman,_Medium-Light_Skin_Tone,_Medium-Dark_Skin_Tone","1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FE","fully-qualified",3383
"👩🏼‍❤️‍💋‍👩🏽","Kiss:_Woman,_Woman,_Medium-Light_Skin_Tone,_Medium_Skin_Tone","1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F469 1F3FD","fully-qualified",3381
