"","x"
"1","  :(  "
"2","  :]  "
"3","  :[  "
"4","  :}  "
"5","  :{  "
"6","  :D  "
"7","  :p  "
"8","  :P  "
"9","  :o  "
"10","  :O  "
"11","  :s  "
"12","  :S  "
"13","  :x  "
"14","  :X  "
"15","  :I  "
"16","  :l  "
"17","  :|  "
"18","  :$  "
"19","  :/  "
"20","  :\  "
"21","  :*  "
"22","  :Q  "
"23","  :q  "
"24","  :G  "
"25","  :B  "
"26","  :b  "
"27","  :c  "
"28","  :C  "
"29","  :-)  "
"30","  :-(  "
"31","  :-]  "
"32","  :-[  "
"33","  :-}  "
"34","  :-{  "
"35","  :-D  "
"36","  :-p  "
"37","  :-P  "
"38","  :-o  "
"39","  :-O  "
"40","  :-s  "
"41","  :-S  "
"42","  :-x  "
"43","  :-X  "
"44","  :-I  "
"45","  :-l  "
"46","  :-|  "
"47","  :-$  "
"48","  :-/  "
"49","  :-\  "
"50","  :-*  "
"51","  :-Q  "
"52","  :-q  "
"53","  :-G  "
"54","  :-B  "
"55","  :-b  "
"56","  :-c  "
"57","  :-C  "
"58","  =)  "
"59","  =(  "
"60","  =]  "
"61","  =[  "
"62","  =}  "
"63","  ={  "
"64","  =D  "
"65","  =p  "
"66","  =P  "
"67","  =o  "
"68","  =O  "
"69","  =s  "
"70","  =S  "
"71","  =x  "
"72","  =X  "
"73","  =I  "
"74","  =l  "
"75","  =|  "
"76","  =$  "
"77","  =/  "
"78","  =\  "
"79","  =*  "
"80","  =Q  "
"81","  =q  "
"82","  =G  "
"83","  =B  "
"84","  =b  "
"85","  =c  "
"86","  =C  "
"87","  =-)  "
"88","  =-(  "
"89","  =-]  "
"90","  =-[  "
"91","  =-}  "
"92","  =-{  "
"93","  =-D  "
"94","  =-p  "
"95","  =-P  "
"96","  =-o  "
"97","  =-O  "
"98","  =-s  "
"99","  =-S  "
"100","  =-x  "
"101","  =-X  "
"102","  =-I  "
"103","  =-l  "
"104","  =-|  "
"105","  =-$  "
"106","  =-/  "
"107","  =-\  "
"108","  =-*  "
"109","  =-Q  "
"110","  =-q  "
"111","  =-G  "
"112","  =-B  "
"113","  =-b  "
"114","  =-c  "
"115","  ;)  "
"116","  ;(  "
"117","  ;]  "
"118","  ;[  "
"119","  ;}  "
"120","  ;{  "
"121","  ;D  "
"122","  ;p  "
"123","  ;P  "
"124","  ;o  "
"125","  ;O  "
"126","  ;s  "
"127","  ;S  "
"128","  ;x  "
"129","  ;X  "
"130","  ;I  "
"131","  ;l  "
"132","  ;|  "
"133","  ;$  "
"134","  ;/  "
"135","  ;\  "
"136","  ;*  "
"137","  ;Q  "
"138","  ;q  "
"139","  ;G  "
"140","  ;B  "
"141","  ;b  "
"142","  ;c  "
"143","  ;C  "
"144","  ;-)  "
"145","  ;-(  "
"146","  ;-]  "
"147","  ;-[  "
"148","  ;-}  "
"149","  ;-{  "
"150","  ;-D  "
"151","  ;-p  "
"152","  ;-P  "
"153","  ;-o  "
"154","  ;-s  "
"155","  ;-S  "
"156","  ;-x  "
"157","  ;-X  "
"158","  ;-I  "
"159","  ;-l  "
"160","  ;-|  "
"161","  ;-$  "
"162","  ;-/  "
"163","  ;-\  "
"164","  ;-*  "
"165","  ;-Q  "
"166","  ;-q  "
"167","  ;-G  "
"168","  ;-B  "
"169","  ;-b  "
"170","  ;-c  "
"171","  ;-C  "
"172","  :)  "
"173","  :^)  "
"174","  :))  "
"175","  ;o)  "
"176","  ¦)  "
"177","  =:)  "
"178","  :3  "
"179","  :9  "
"180","  c:  "
"181","  :'D  "
"182","  xD  "
"183","  XD  "
